1665524050.448428 client started (9459): version 3.3a, socket /private/tmp/tmux-501/default, protocol 8
1665524050.448488 on Darwin 21.5.0 Darwin Kernel Version 21.5.0: Tue Apr 26 21:08:29 PDT 2022; root:xnu-8020.121.3~4/RELEASE_ARM64_T8101
1665524050.448711 using libevent 2.1.12-stable (select); utf8proc 2.7.0; ncurses 6.3
1665524050.448762 flags are 0x18010000
1665524050.448780 socket is /private/tmp/tmux-501/default
1665524050.448794 trying connect
1665524050.448892 add peer 0x140008000: 6 (0x0)
1665524050.451308 sending message 100 to peer 0x140008000 (4 bytes)
1665524050.451323 sending message 111 to peer 0x140008000 (8 bytes)
1665524050.451330 sending message 101 to peer 0x140008000 (15 bytes)
1665524050.451335 sending message 109 to peer 0x140008000 (4 bytes)
1665524050.451342 sending message 102 to peer 0x140008000 (13 bytes)
1665524050.451348 sending message 108 to peer 0x140008000 (32 bytes)
1665524050.451353 sending message 112 to peer 0x140008000 (58 bytes)
1665524050.451358 sending message 112 to peer 0x140008000 (5 bytes)
1665524050.451363 sending message 112 to peer 0x140008000 (5 bytes)
1665524050.451368 sending message 112 to peer 0x140008000 (6 bytes)
1665524050.451373 sending message 112 to peer 0x140008000 (6 bytes)
1665524050.451378 sending message 112 to peer 0x140008000 (11 bytes)
1665524050.451382 sending message 112 to peer 0x140008000 (10 bytes)
1665524050.451387 sending message 112 to peer 0x140008000 (13 bytes)
1665524050.451392 sending message 112 to peer 0x140008000 (14 bytes)
1665524050.451397 sending message 112 to peer 0x140008000 (19 bytes)
1665524050.451401 sending message 112 to peer 0x140008000 (11 bytes)
1665524050.451406 sending message 112 to peer 0x140008000 (10 bytes)
1665524050.451411 sending message 112 to peer 0x140008000 (15 bytes)
1665524050.451416 sending message 112 to peer 0x140008000 (21 bytes)
1665524050.451421 sending message 112 to peer 0x140008000 (13 bytes)
1665524050.451426 sending message 112 to peer 0x140008000 (7 bytes)
1665524050.451431 sending message 112 to peer 0x140008000 (13 bytes)
1665524050.451436 sending message 112 to peer 0x140008000 (7 bytes)
1665524050.451441 sending message 112 to peer 0x140008000 (13 bytes)
1665524050.451445 sending message 112 to peer 0x140008000 (9 bytes)
1665524050.451450 sending message 112 to peer 0x140008000 (21 bytes)
1665524050.451455 sending message 112 to peer 0x140008000 (13 bytes)
1665524050.451460 sending message 112 to peer 0x140008000 (9 bytes)
1665524050.451466 sending message 112 to peer 0x140008000 (16 bytes)
1665524050.451470 sending message 112 to peer 0x140008000 (13 bytes)
1665524050.451475 sending message 112 to peer 0x140008000 (9 bytes)
